Model,Threshold,Accuracy,Precision,Recall,F1,Specificity
Logistic Regression,0.3,0.7484,0.5174,0.756,0.6144,0.7456
Logistic Regression,0.4,0.7783,0.5761,0.6193,0.5969,0.8356
Logistic Regression,0.5,0.7932,0.6424,0.496,0.5598,0.9004
Decision Tree,0.3,0.7839,0.659,0.3834,0.4847,0.9284
Decision Tree,0.4,0.7839,0.659,0.3834,0.4847,0.9284
Decision Tree,0.5,0.7839,0.659,0.3834,0.4847,0.9284
Random Forest,0.3,0.7832,0.5895,0.6005,0.595,0.8491
Random Forest,0.4,0.7946,0.6373,0.5228,0.5744,0.8926
Random Forest,0.5,0.8017,0.685,0.4665,0.555,0.9226
Gradient Boosting,0.3,0.7484,0.5178,0.7399,0.6093,0.7515
Gradient Boosting,0.4,0.7868,0.5953,0.6113,0.6032,0.8501
Gradient Boosting,0.5,0.7967,0.6593,0.4826,0.5573,0.9101
